brand,model,size,color,rpm,airflow,decibels,pwm,price
In Win,Jupiter AJ120,120.0,Black,"{'min': 500, 'max': 1800, 'default': None}","{'min': None, 'max': None, 'default': 70.32}","{'min': None, 'max': None, 'default': 35.0}",True,"['USD', '0.00']"
In Win,Jupiter AJ120 3-Pack,120.0,Black,"{'min': 500, 'max': 1800, 'default': None}","{'min': None, 'max': None, 'default': 70.32}","{'min': None, 'max': None, 'default': 35.0}",True,"['USD', '0.00']"
In Win,MARS,120.0,Black / Red,"{'min': 600, 'max': 1400, 'default': None}","{'min': None, 'max': None, 'default': 38.73}","{'min': None, 'max': None, 'default': 25.0}",True,"['USD', '0.00']"
In Win,Polaris 2-Pack,120.0,Black / Translucent White,"{'min': 500, 'max': 1280, 'default': None}","{'min': None, 'max': None, 'default': 43.31}","{'min': None, 'max': None, 'default': 20.2}",True,"['USD', '0.00']"
In Win,Saturn ASN120,120.0,White / Black,"{'min': 500, 'max': 1800, 'default': None}",,,True,"['USD', '0.00']"
In Win,Saturn ASN120 3-Pack,120.0,White / Black,"{'min': 500, 'max': 1800, 'default': None}",,,True,"['USD', '45.00']"
In Win,Sirius Loop ASL,120.0,Black,"{'min': 500, 'max': 1800, 'default': None}","{'min': None, 'max': None, 'default': 50.0}","{'min': None, 'max': None, 'default': 27.0}",True,"['USD', '0.00']"
In Win,Sirius Loop ASL 3-Pack,120.0,Black,"{'min': 500, 'max': 1800, 'default': None}","{'min': None, 'max': None, 'default': 50.0}","{'min': None, 'max': None, 'default': 27.0}",True,"['USD', '28.18']"
Insignia,NS-PCF1250,120.0,Black,"{'min': None, 'max': None, 'default': 1200}","{'min': None, 'max': None, 'default': 44.0}","{'min': None, 'max': None, 'default': 22.5}",False,"['USD', '0.00']"
Insignia,NS-PCF8050,80.0,Black,"{'min': None, 'max': None, 'default': 2000}","{'min': None, 'max': None, 'default': 23.96}","{'min': None, 'max': None, 'default': 22.3}",False,"['USD', '7.75']"
Kingwin,CF-012LB,120.0,Black,"{'min': None, 'max': None, 'default': 950}","{'min': None, 'max': None, 'default': 40.0}","{'min': None, 'max': None, 'default': 19.0}",False,"['USD', '4.99']"
Kingwin,CF-012LBR,120.0,Red / Black,"{'min': None, 'max': None, 'default': 950}","{'min': None, 'max': None, 'default': 40.0}","{'min': None, 'max': None, 'default': 19.0}",False,"['USD', '11.37']"
Kingwin,CF-012LBW,120.0,Black / White,"{'min': None, 'max': None, 'default': 950}","{'min': None, 'max': None, 'default': 40.0}","{'min': None, 'max': None, 'default': 19.0}",False,"['USD', '12.26']"
Kingwin,CF-014LB,140.0,Black,"{'min': None, 'max': None, 'default': 1000}","{'min': None, 'max': None, 'default': 58.0}","{'min': None, 'max': None, 'default': 23.0}",False,"['USD', '0.00']"
Kingwin,CF-08LB,80.0,Black,"{'min': None, 'max': None, 'default': 1700}","{'min': None, 'max': None, 'default': 30.0}","{'min': None, 'max': None, 'default': 25.0}",False,"['USD', '5.97']"
Kingwin,CFBL-020LB,200.0,White,"{'min': None, 'max': None, 'default': 800}","{'min': None, 'max': None, 'default': 31.21}","{'min': None, 'max': None, 'default': 19.87}",False,"['USD', '0.00']"
Kingwin,CFBL-08LB,80.0,Transparent,"{'min': None, 'max': None, 'default': 1700}","{'min': None, 'max': None, 'default': 30.0}","{'min': None, 'max': None, 'default': 25.0}",False,"['USD', '6.99']"
Kingwin,CFGN-012LB,120.0,Clear,"{'min': None, 'max': None, 'default': 950}","{'min': None, 'max': None, 'default': 40.0}","{'min': None, 'max': None, 'default': 19.0}",False,"['USD', '0.00']"
Kingwin,CFMC-012LB,120.0,Clear,"{'min': None, 'max': None, 'default': 950}","{'min': None, 'max': None, 'default': 40.0}","{'min': None, 'max': None, 'default': 19.0}",False,"['USD', '0.00']"
Kingwin,CFR-012LB,120.0,Clear,"{'min': None, 'max': None, 'default': 950}","{'min': None, 'max': None, 'default': 40.0}","{'min': None, 'max': None, 'default': 19.0}",False,"['USD', '6.94']"
Kingwin,CFW-012LB,120.0,Clear,"{'min': None, 'max': None, 'default': 950}","{'min': None, 'max': None, 'default': 40.0}","{'min': None, 'max': None, 'default': 19.0}",False,"['USD', '0.00']"
Kingwin,CFY-012LB,120.0,Transparent,"{'min': None, 'max': None, 'default': 950}","{'min': None, 'max': None, 'default': 40.0}","{'min': None, 'max': None, 'default': 19.0}",False,"['USD', '0.00']"
