brand,model,fan_rpm,decibels,color,radiator_size,price
fractal design,celsius s36 blackout,"{'min': 500, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 32.2}",black,0.8000000000000002,0.0
fractal design,celsius+ s24 dynamic x2 pwm,"{'min': 500, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 32.2}",black,0.4,0.0
fractal design,celsius+ s24 prisma pwm argb,"{'min': 500, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 32.7}",black,0.4,0.0
fractal design,celsius+ s28 dynamic x2 pwm,"{'min': 500, 'max': 1700, 'default': none}","{'min': none, 'max': none, 'default': 32.7}",black,0.5333333333333333,0.0
fractal design,celsius+ s28 prisma pwm argb,"{'min': 500, 'max': 1700, 'default': none}","{'min': none, 'max': none, 'default': 34.1}",black,0.5333333333333333,0.0
fractal design,celsius+ s36 dynamic x2 pwm,"{'min': 500, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 32.2}",black,0.8000000000000002,0.0
fractal design,celsius+ s36 prisma pwm argb,"{'min': 500, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 32.7}",black,0.8000000000000002,0.0
fractal design,kelvin s24,"{'min': 800, 'max': 1700, 'default': none}","{'min': none, 'max': none, 'default': 26.9}",black,0.4,0.0
fractal design,kelvin s36,"{'min': 800, 'max': 1700, 'default': none}","{'min': none, 'max': none, 'default': 26.9}",black,0.8000000000000002,0.0
fractal design,kelvin t12,"{'min': 800, 'max': 1700, 'default': none}","{'min': none, 'max': none, 'default': 26.9}",black,0.0,0.0
